'89 Dennou Kyuusei Uranai
10-Yard Fight
100-in-1 Contra Function 16 [a1]
100-in-1 Contra Function 16 [a2]
100-in-1 Contra Function 16
11-in-1 Ball Games [!]
16 Mahjang [!]
1942
1943 - The Battle of Midway
1991 Du Ma Racing (Enjoyable Horse Racing 1991)
1991 Du Ma Racing
1999 - Hore, Mitakotoka! Seikimatsu
1K Frog
2048
260-in-1
2A03 Puritans
3-D Battles of World Runner, The
3D Block
4 Nin Uchi Mahjong
54-in-1 (Game Star - GK-54) [!]
6-in-1 (Game Star - GK-L01A) [!]
6-in-1 (SuperGK-L02A) [!]
68-in-1 (Game Star - HKX5268) [!]
720
75 Bingo
8 Eyes
8BIT Rhythm Land
8Bit RIKI Illustrations
9-in-1 - Ninja Cat (Cattou Ninden Teyandee)
A Ressha de Ikou
Aa Yakyuu Jinsei Icchokusen
Abadox - The Deadly Inner War
Adan y Eva
Addams Family, The - Pugsley's Scavenger Hunt
Addams Family, The
Adian no Tsue
Advanced Dungeons & Dragons - Dragon Strike
Advanced Dungeons & Dragons - Dragons of Flame
Advanced Dungeons & Dragons - Heroes of the Lance
Advanced Dungeons & Dragons - Hillsfar
Advanced Dungeons & Dragons - Pool of Radiance
Adventure Island 2
Adventure Island 3
Adventure Island
Adventures in the Magic Kingdom
Adventures of Bayou Billy, The
Adventures of Captain Comic, The
Adventures of Dino Riki, The
Adventures of Dr. Franken, The
Adventures of Gilligan's Island, The
Adventures of Lolo 2
Adventures of Lolo 3
Adventures of Lolo
Adventures of Rad Gravity, The
Adventures of Rocky and Bullwinkle and Friends, The
Adventures of Tom Sawyer
After Burner
Ai Sensei no Oshiete - Watashi no Hoshi
Ai Senshi Nicol
Aigiina no Yogen - From The Legend of Balubalouk
Air Fortress
Airball
Airwolf (J)
Airwolf (UE)
Akagawa Jirou no Yuurei Ressha
Aki to Tsukasa no Fushigi no Kabe
Akira
Akuma-kun - Makai no Wana
Akumajou Special - Boku Dracula-kun
Akuu Senki Raijin
Al Unser Jr. Turbo Racing
Aladdin (E)
Aladdin (Mapper 4)
Aladdin (SuperGame)
Aladdin (Unl)
Aladdin 2
Aladdin 3
Alfombra Magica, La
Alfred Chicken
Alien 3
Alien Syndrome
Aliens - Alien 2
All-Pro Basketball
Alpha Mission
Alter Ego
Amagon
ambushed
America Daitouryou Senkyo
America Oudan Ultra Quiz - Shijou Saidai no Tatakai
American Dream
American Gladiators
Angry Birds
Ankoku Shinwa - Yamato Takeru Densetsu
Anticipation
Ao no Senritsu
Aoki Ookami to Shiroki Mejika - Genchou Hishi
Apple Town Monogatari - Little Computer People
Arch Rivals - A Basketbrawl!
Architect (Dr. PC Jr.) (Chinese)
Archon
Arctic
Argus
Arkanoid 2
Arkanoid
Arkista's Ring
Arm Wrestling Classic, The
Armadillo
Armana no Kiseki
Artelius
Asmik-kun Land
Aspic - Majaou no Noroi
assimilate
Asterix
Astro Fang - Super Machine
Astro Robo Sasa
Astyanax
Athena
Athletic World
Atlantis no Nazo
Attack Animal Gakuen
Attack of the Killer Tomatoes
Aussie Rules Footy
Auto-Upturn
AV (Card Game) [!]
