Bible Adventures
Big Bird's Hide & Speak
Big Challenge! Dogfight Spirit
Big Challenge! Go! Go! Bowling
Big Challenge! Gun Fighter
Big Challenge! Juudou Senshuken
Airwolf (UE)
Big Nose Freaks Out
Akagawa Jirou no Yuurei Ressha
Big Nose the Caveman
Bigfoot
Bikkuriman World - Gekitou Sei Senshi
Bill & Ted's Excellent Video Game Adventure
Bill Elliott's NASCAR Challenge
Binary Land
Bio Force Ape
Bio Hazard
Bio Miracle Bokutte Upa
Bio Senshi Dan - Increaser Tono Tatakai
Bionic Commando
Bird Week
Bishojou Control
Bishojou Mahjong Club
Bishojou SF Alien Battle
Bishoujo Alien Battle
Bishoujo Control
Bishoujo Kachinuki Renju - Gomoku Narabe
Bishoujo Mahjong Club
Aki to Tsukasa no Fushigi no Kabe
Bishoujo Sexy Derby
Akumajou Special - Boku Dracula-kun
Bishoujo Sexy Puzzle
Akira
Bishoujo Sexy Slot
Akuma-kun - Makai no Wana
Bishoujo Shashinkan - Moving School
Al Unser Jr. Turbo Racing
Bishoujo Shashinkan - Studio Cut
Akuu Senki Raijin
Black Bass USA, The
Black Bass, The
Blackjack
Blade Buster
Blades of Steel
Blaster Master
Blodia Land - Puzzle Quest
Bloody Warriors - Shan-Go no Gyakushuu
Aladdin (E)
Bloque Magico, El
Blue Marlin, The
Aladdin (Unl)
Blues Brothers, The
BMX Simulator
Aladdin (Mapper 4)
Bo Jackson Baseball
Bodyconquest I - Abakareshi Musumetachi
Bokosuka Wars
Bomberman
Bomberman II
BombSweeper by SnowBro
Bonk's Adventure
Booby Kids
Boogerman
Booky Man
Boulder Dash
Boy and His Blob, A - Trouble on Blobolonia
Bram Stoker's Dracula
Aladdin (SuperGame)
Break Time - The National Pool Tour
BreakThru
Breeder
Aladdin II
Brilliant Com Pack 2
Brush Roller
Bubble Bobble
Alfred Chicken
Bubble Bobble Part 2
Bucky O'Hare
Alfombra Magica, La
Bugs Bunny Birthday Blowout, The
Bugs Bunny Crazy Castle, The
BugTris
